No,상품명,cate_code,대분류,중분류,소분류,세분류,prd_key
30361,대형 카페트 파일카펫 심플 모던 문 매트 도어 미끄럼 방지,50003512,가구/인테리어,카페트/러그,카페트,파일카페트,가구/인테리어$카페트/러그$카페트$파일카페트
30362,강아지여름옷 조끼 보호자 커플룩 고양이,50007152,생활/건강,반려동물,패션용품,베스트/조끼,생활/건강$반려동물$패션용품$베스트/조끼
30363,"테페 젠틀케어 부드러운 칫솔 구내염,암환자",50001938,생활/건강,구강위생용품,칫솔,N,생활/건강$구강위생용품$칫솔$N
30364,자신의 디자인  흰색 잉크 10pcs 아크릴 결혼식 초대장  무료 배송  맞춤 서비스  파티 메뉴,50008149,생활/건강,문구/사무용품,카드/엽서/봉투,청첩장,생활/건강$문구/사무용품$카드/엽서/봉투$청첩장
30365,듀플렉스6600 듀얼노즐 초음파 가습기 1L 양방향 - 가습기 초음파식가습기,50002540,디지털/가전,계절가전,가습기,초음파식가습기,디지털/가전$계절가전$가습기$초음파식가습기
30366,침대 안전 가드 낙상방지 접이식 4단,50001344,가구/인테리어,아동/주니어가구,소품가구,N,가구/인테리어$아동/주니어가구$소품가구$N
30367,깐잣 500g 국산 식품 농산물 견과류 견과 잣,50002241,식품,농산물,견과류,잣,식품$농산물$견과류$잣
30368,무선 RC배 요트 방제 보트 리모컨 원격제어 낚시배,50004281,생활/건강,수집품,무선/RC,보트/배,생활/건강$수집품$무선/RC$보트/배
30369,타카기 스프링클러 트리플분사 농업 원예 11M G199,50003377,생활/건강,공구,원예공구,스프링클러,생활/건강$공구$원예공구$스프링클러
30370,팬플룻 팬 플루트 22 튜브 상자 케이스 관악기,50004337,생활/건강,악기,관악기,팬플루트,생활/건강$악기$관악기$팬플루트
30371,비즈발 실커튼 현관 블라인드 무펀칭 크리스털 유리 호리호리 주렴 집 문발 차단 현관으로,50000865,가구/인테리어,커튼/블라인드,비즈발,N,가구/인테리어$커튼/블라인드$비즈발$N
30372,초등학생튜브 특이한 초대형 성인 대형 손잡이 튜브,50003067,스포츠/레저,수영,수영용품,튜브,스포츠/레저$수영$수영용품$튜브
30373,(제이큐) 통조림 기타농산물통조림 식자재 도매 죽순채코끼리 식재료 2.84Kg 1개,50012040,식품,통조림/캔,기타통조림/캔,N,식품$통조림/캔$기타통조림/캔$N
30374,우리밀 부침가루,50013380,식품,가루/분말류,부침가루,N,식품$가루/분말류$부침가루$N
30375,자전거 프레임 포크 홀더 유모차 휠체어 스탠드 접이식 파라솔 양산 마운트 확장 브래킷,50002859,스포츠/레저,자전거,자전거부품,프레임/포크,스포츠/레저$자전거$자전거부품$프레임/포크
30376,수유가리개 모유수유담요 일본 모유 수유 수-,50000277,출산/육아,임산부용품,기타임산부용품,N,출산/육아$임산부용품$기타임산부용품$N
30377,병건조기 세병기 클램핑 멀티세척기 반자동세척기,50006960,디지털/가전,주방가전,식기세척/건조기,업소용식기세척기,디지털/가전$주방가전$식기세척/건조기$업소용식기세척기
30378,METALFISH SFX500W 컴퓨터 미니 PC 용 완전 모듈러 SFX 전원,50003111,디지털/가전,PC부품,파워서플라이,mATX파워,디지털/가전$PC부품$파워서플라이$mATX파워
30379,"6 개-황동 머리 핀 34x64mm 웨이브 헤어 빗 4 치아, 골드 실버 원시 황동 금속 선조 헤어 쥬얼리 용품-M",50000563,패션잡화,헤어액세서리,헤어액세서리소품,N,패션잡화$헤어액세서리$헤어액세서리소품$N
30380,모자이크 타일 유리 모자이크 kombi 숲 베이지 색,50003686,가구/인테리어,DIY자재/용품,타일,유리타일,가구/인테리어$DIY자재/용품$타일$유리타일
30381,비바코 로마 우레탄창 tpu창,50002653,스포츠/레저,캠핑,텐트,6-7인용,스포츠/레저$캠핑$텐트$6-7인용
30382,[헬스기구24] 실내자전거 헬스싸이클 파워k3u,50001603,스포츠/레저,헬스,헬스사이클,N,스포츠/레저$헬스$헬스사이클$N
30383,심리스 치마 속바지 살색 속바지 Y라인 방지 뱃살 보정 속바지,50000829,패션의류,여성언더웨어/잠옷,속치마/속바지,N,패션의류$여성언더웨어/잠옷$속치마/속바지$N
30384,기타가구 캠핑용 해먹 가구인테리어,50001059,가구/인테리어,아웃도어가구,기타아웃도어가구,N,가구/인테리어$아웃도어가구$기타아웃도어가구$N
30385,2단 옷장 학교 책상 비운 팔두장 비운환경 사무가구 비운철장 비운탁자 비운강제,50003302,가구/인테리어,서재/사무용가구,사무/교구용가구,캐비닛,가구/인테리어$서재/사무용가구$사무/교구용가구$캐비닛
30386,펜텔 에너겔 볼펜 노크 0.7 Pentel energel,50003576,생활/건강,문구/사무용품,필기도구,펜,생활/건강$문구/사무용품$필기도구$펜
30387,아르간듀 과일나라 컨퓸 아르간 머스크  스프레이 300ML 1개,50000307,화장품/미용,헤어스타일링,헤어스프레이,N,화장품/미용$헤어스타일링$헤어스프레이$N
30388,작살총 스테인레스 세차 제트 스피어 랜스 for lavor hammer hitachi,50001262,스포츠/레저,스킨스쿠버,수중총/작살,N,스포츠/레저$스킨스쿠버$수중총/작살$N
30389,갯벌체험옷 가슴장화 허벅지장화 점프 위장 원피,50003048,스포츠/레저,낚시,낚시의류/잡화,낚시장화,스포츠/레저$낚시$낚시의류/잡화$낚시장화
30390,사무실 원예용품화분 인테리어 홈가드닝 분재예쁜거실,50001801,생활/건강,정원/원예용품,화분,N,생활/건강$정원/원예용품$화분$N
30391,임산부보리차 보리차끓이는법 국내산 볶은 곡물 끓이기 겉보리 전통 800g,50012980,식품,음료,차류,보리차,식품$음료$차류$보리차
30392,사이클링 캡 점보 Visma 2022 팀 경량 자전거 헤드웨어 MTB 로드 사이클 모자 Gorra Casquette Cyclisme - 협력사,50002868,스포츠/레저,자전거,자전거의류/잡화,두건/밴드,스포츠/레저$자전거$자전거의류/잡화$두건/밴드
30393,[국내산잡곡]약콩 쥐눈이콩 700g x 2팩 혼합곡,50002156,식품,농산물,잡곡/혼합곡,콩,식품$농산물$잡곡/혼합곡$콩
30394,코이코 숫돌 칼갈이 숫돌받침대 거치대 연마가이드,50004762,생활/건강,주방용품,칼/커팅기구,칼갈이,생활/건강$주방용품$칼/커팅기구$칼갈이
30395,맛있는반찬 장조림 우리엄마메추리장조림 메추리알 130g 1개입,50001917,식품,반찬,장조림,N,식품$반찬$장조림$N
30396,LG전자 그램16 16ZD90P-GX7TK,50000151,디지털/가전,노트북,N,N,디지털/가전$노트북$N$N
30397,도자기수반 옹기 수반 실내연못 항아리 어항 수경 정원 실내,50001795,생활/건강,정원/원예용품,수반,N,생활/건강$정원/원예용품$수반$N
30398,빌한슨 인텐스홀더 향꽂이 인센스 박스 콘홀더 향홀더,50003354,가구/인테리어,인테리어소품,아로마/캔들용품,촛대/홀더,가구/인테리어$인테리어소품$아로마/캔들용품$촛대/홀더
30399,애니블록 뽀로로 퍼즐 스타터 정리함 통합구성,50004648,출산/육아,완구/매트,유아동퍼즐,기타유아동퍼즐,출산/육아$완구/매트$유아동퍼즐$기타유아동퍼즐
30400,무료배송 성인 스케이트화 남녀 인라인스케이트 스케이트화 인라인스케이트,50006768,스포츠/레저,인라인스케이트,인라인용품,N,스포츠/레저$인라인스케이트$인라인용품$N
30401,바디드라이어 에어샤워 전신건조 발건조기 몸드라이기,50007070,디지털/가전,생활가전,전신건조기,N,디지털/가전$생활가전$전신건조기$N
30402,헤링본 클래식 자수 세미 정장 남자 넥타이 6 color,50004014,패션잡화,패션소품,넥타이,기본넥타이,패션잡화$패션소품$넥타이$기본넥타이
